# weather.txt - 일별 날씨 기록 (2026-05-16 ~ 2026-07-15)
# format: date|location|condition|temp_high|temp_low|dust_level
# note: 최근 7행이 주간예보(-w), 마지막 행이 현재날씨(-c)로 취급
2026-05-16|거북섬/정왕동|맑음|23.0|16.0|좋음
2026-05-17|거북섬/정왕동|구름조금|25.2|18.2|매우나쁨
2026-05-18|거북섬/정왕동|구름많음|27.3|20.3|나쁨
2026-05-19|거북섬/정왕동|흐림|24.5|17.5|보통
2026-05-20|거북섬/정왕동|비|26.7|19.7|좋음
2026-05-21|거북섬/정왕동|소나기|23.8|16.8|매우나쁨
2026-05-22|거북섬/정왕동|맑음|26.0|19.0|나쁨
2026-05-23|거북섬/정왕동|구름조금|28.2|21.2|보통
2026-05-24|거북섬/정왕동|구름많음|25.3|18.3|좋음
2026-05-25|거북섬/정왕동|흐림|27.5|20.5|매우나쁨
2026-05-26|거북섬/정왕동|비|24.7|17.7|나쁨
2026-05-27|거북섬/정왕동|소나기|26.8|19.8|보통
2026-05-28|거북섬/정왕동|맑음|29.0|22.0|좋음
2026-05-29|거북섬/정왕동|구름조금|26.2|19.2|매우나쁨
2026-05-30|거북섬/정왕동|구름많음|28.3|21.3|나쁨
2026-05-31|거북섬/정왕동|흐림|25.5|18.5|보통
2026-06-01|거북섬/정왕동|비|27.7|20.7|좋음
2026-06-02|거북섬/정왕동|소나기|29.8|22.8|매우나쁨
2026-06-03|거북섬/정왕동|맑음|27.0|20.0|나쁨
2026-06-04|거북섬/정왕동|구름조금|29.2|22.2|보통
2026-06-05|거북섬/정왕동|구름많음|26.3|19.3|좋음
2026-06-06|거북섬/정왕동|흐림|28.5|21.5|매우나쁨
2026-06-07|거북섬/정왕동|비|30.7|23.7|나쁨
2026-06-08|거북섬/정왕동|소나기|27.8|20.8|보통
2026-06-09|거북섬/정왕동|맑음|30.0|23.0|좋음
2026-06-10|거북섬/정왕동|구름조금|27.2|20.2|매우나쁨
2026-06-11|거북섬/정왕동|구름많음|29.3|22.3|나쁨
2026-06-12|거북섬/정왕동|흐림|31.5|24.5|보통
2026-06-13|거북섬/정왕동|비|28.7|21.7|좋음
2026-06-14|거북섬/정왕동|소나기|30.8|23.8|매우나쁨
2026-06-15|거북섬/정왕동|맑음|28.0|21.0|나쁨
2026-06-16|거북섬/정왕동|구름조금|30.2|23.2|보통
2026-06-17|거북섬/정왕동|구름많음|32.3|25.3|좋음
2026-06-18|거북섬/정왕동|흐림|29.5|22.5|매우나쁨
2026-06-19|거북섬/정왕동|비|31.7|24.7|나쁨
2026-06-20|거북섬/정왕동|소나기|28.8|21.8|보통
2026-06-21|거북섬/정왕동|맑음|31.0|24.0|좋음
2026-06-22|거북섬/정왕동|구름조금|33.2|26.2|매우나쁨
2026-06-23|거북섬/정왕동|구름많음|30.3|23.3|나쁨
2026-06-24|거북섬/정왕동|흐림|32.5|25.5|보통
2026-06-25|거북섬/정왕동|비|29.7|22.7|좋음
2026-06-26|거북섬/정왕동|소나기|31.8|24.8|매우나쁨
2026-06-27|거북섬/정왕동|맑음|34.0|27.0|나쁨
2026-06-28|거북섬/정왕동|구름조금|31.2|24.2|보통
2026-06-29|거북섬/정왕동|구름많음|33.3|26.3|좋음
2026-06-30|거북섬/정왕동|흐림|30.5|23.5|매우나쁨
2026-07-01|거북섬/정왕동|비|32.7|25.7|나쁨
2026-07-02|거북섬/정왕동|소나기|34.8|27.8|보통
2026-07-03|거북섬/정왕동|맑음|32.0|25.0|좋음
2026-07-04|거북섬/정왕동|구름조금|34.2|27.2|매우나쁨
2026-07-05|거북섬/정왕동|구름많음|31.3|24.3|나쁨
2026-07-06|거북섬/정왕동|흐림|33.5|26.5|보통
2026-07-07|거북섬/정왕동|비|35.7|28.7|좋음
2026-07-08|거북섬/정왕동|소나기|32.8|25.8|매우나쁨
2026-07-09|거북섬/정왕동|맑음|35.0|28.0|나쁨
2026-07-10|거북섬/정왕동|구름조금|32.2|25.2|보통
2026-07-11|거북섬/정왕동|구름많음|34.3|27.3|좋음
2026-07-12|거북섬/정왕동|흐림|36.5|29.5|매우나쁨
2026-07-13|거북섬/정왕동|비|33.7|26.7|나쁨
2026-07-14|거북섬/정왕동|소나기|35.8|28.8|보통
2026-07-15|거북섬/정왕동|맑음|33.0|26.0|좋음
